,Participant.ID,CorA,Age,Grade,Gender,POCAAbsError,POUAAbsError,LengthAbsError,AngleAbsError,AreaAbsError
11,11,Child,10,4,Male,"c(5, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0)","c(0, 5, 10, 0, 5, 10, 0, 10, 0, 5, 20, 0, 0, 10, 5, 5, 0, 10, 10)","c(5, 5, 10, 5, 10, 15, 0, 5, 20, 15, 10, 10, 5, 0, 5, 0, 5, 0, 10)","c(0, 10, 0, 5, 10, 0, 10, 5, 10, 10, 0, 4, 5, 15, 5, 0, 0, 15, 10)","c(10, 5, 10, 0, 5, 10, 10, 5, 5, 5, 0, 5, 0, 5, 10, 5, 15, 20, 0)"
12,12,Child,10,4,Male,"c(5, 3, 5, 10, 5, 5, 9, 0, 5, 0, 10, 0, 7, 5, 4, 0, 0, 5, 10)","c(10, 12, 4, 21, 18, 8, 10, 6, 4, 17, 1, 9, 3, 1, 20, 1, 8, 1, 10)","c(35, 4, 15, 3, 15, 5, 4, 16, 5, 0, 0, 5, 5, 1, 2, 5, 5, 5, 11)","c(10, 10, 15, 0, 0, 5, 0, 10, 5, 20, 15, 15, 10, 20, 5, 14, 0, 37, 5)","c(0, 0, 8, 10, 0, 15, 25, 2, 21, 10, 0, 4, 3, 1, 0, 5, 5, 5, 12)"
13,13,Child,8,2,Male,"c(15, 7, 5, 2, 7, 0, 15, 0, 15, 5, 6, 1, 10, 0, 5, 8, 6, 0, 1)","c(10, 20, 1, 15, 10, 0, 10, 5, 5, 10, 9, 0, 1, 10, 15, 15, 9, 10, 3)","c(2, 1, 9, 0, 0, 5, 17, 1, 5, 7, 3, 10, 15, 0, 12, 2, 5, 10, 6)","c(10, 18, 20, 17, 5, 7, 5, 35, 19, 14, 5, 4, 5, 0, 3, 10, 4, 30, 15)","c(5, 10, 15, 39, 24, 25, 5, 9, 5, 10, 1, 7, 13, 3, 5, 25, 7, 20, 20)"
14,16,Child,10,4,Male,"c(7, 19, 11, 2, 11, 12, 12, 3, 9, 9, 11, 3, 3, 18, 2, 14, 8, 6, 7)","c(13, 11, 11, 12, 6, 9, 2, 3, 6, 8, 4, 1, 21, 16, 2, 2, 7, 3, 6)","c(8, 4, 2, 3, 12, 11, 5, 1, 5, 3, 11, 9, 8, 8, 2, 4, 4, 10, 1)","c(4, 6, 11, 3, 12, 1, 3, 18, 1, 2, 3, 9, 29, 5, 21, 8, 1, 11, 22)","c(4, 1, 6, 12, 7, 6, 1, 1, 14, 0, 1, 2, 2, 6, 25, 6, 12, 5, 9)"
15,17,Child,12,6,Male,"c(0, 6, 3, 7, 8, 3, 1, 5, 16, 8, 10, 1, 6, 0, 0, 2, 2, 1, 8)","c(6, 4, 11, 0, 5, 0, 19, 11, 12, 4, 5, 10, 2, 2, 12, 6, 11, 0, 5)","c(2, 7, 7, 6, 4, 9, 9, 5, 1, 5, 4, 2, 1, 13, 14, 6, 6, 2, 1)","c(2, 6, 18, 25, 13, 6, 8, 0, 4, 0, 15, 9, 2, 7, 9, 8, 5, 1, 0)","c(2, 4, 7, 1, 25, 0, 15, 0, 3, 14, 21, 16, 4, 2, 15, 7, 5, 8, 3)"
16,18,Child,8,2,Female,"c(5, 5, 10, 5, 5, 25, 5, 5, 20, 5, 0, 0, 5, 4, 0, 0, 10, 20, 10)","c(20, 4, 20, 0, 5, 10, 0, 25, 10, 5, 10, 5, 0, 10, 10, 15, 15, 0, 20)","c(5, 15, 5, 15, 5, 25, 20, 0, 5, 0, 10, 4, 10, 0, 10, 0, 5, 5, 20)","c(5, 10, 30, 10, 5, 0, 10, 5, 10, 10, 30, 5, 15, 15, 20, 35, 5, 25, 25)","c(5, 5, 0, 5, 20, 10, 20, 0, 5, 5, 0, 0, 5, 10, 5, 5, 5, 15, 35)"
17,19,Child,8,2,Male,"c(5, 5, 20, 5, 10, 5, 5, 10, 10, 0, 10, 10, 5, 10, 0, 10, 10, 20, 0)","c(10, 10, 5, 5, 10, 5, 5, 5, 5, 5, 15, 10, 0, 0, 10, 30, 5, 5, 5)","c(5, 10, 0, 0, 5, 10, 10, 5, 5, 5, 10, 5, 15, 5, 5, 0, 5, 10, 15)","c(25, 30, 10, 0, 5, 5, 55, 5, 25, 35, 10, 5, 10, 15, 0, 15, 5, 0, 25)","c(45, 15, 30, 40, 10, 25, 0, 1, 15, 25, 15, 15, 20, 15, 50, 45, 0, 30, 7)"
18,20,Child,9,3,Male,"c(5, 5, 5, 5, 5, 2, 0, 0, 0, 5, 2, 10, 10, 0, 0, 0, 5, 5, 0)","c(5, 10, 0, 25, 0, 10, 0, 10, 0, 10, 10, 5, 15, 10, 5, 2, 15, 5, 5)","c(5, 5, 5, 10, 5, 5, 5, 0, 5, 0, 0, 0, 0, 5, 5, 10, 10, 15, 0)","c(0, 10, 0, 5, 10, 5, 10, 15, 15, 20, 5, 10, 15, 20, 15, 5, 6, 20, 5)","c(0, 15, 5, 10, 15, 10, 5, 0, 5, 5, 5, 5, 5, 5, 10, 20, 10, 0, 5)"
19,21,Child,9,3,Male,"c(5, 10, 10, 5, 10, 2, 10, 10, 5, 5, 0, 5, 5, 0, 5, 5, 0, 5, 0)","c(21, 13, 8, 17, 32, 19, 5, 4, 13, 4, 17, 11, 4, 26, 0, 11, 6, 8, 13)","c(0, 0, 10, 5, 20, 5, 5, 5, 0, 0, 0, 5, 5, 5, 5, 0, 5, 10, 5)","c(3, 4, 14, 3, 35, 5, 21, 9, 5, 7, 0, 1, 24, 1, 12, 7, 18, 2, 6)","c(5, 5, 5, 5, 5, 5, 5, 5, 20, 5, 10, 5, 5, 0, 0, 5, 15, 5, 15)"
20,22,Child,9,3,Female,"c(4, 5, 0, 10, 10, 5, 5, 5, 0, 5, 5, 15, 0, 15, 10, 4, 0, 10, 5)","c(10, 10, 5, 4, 31, 5, 10, 10, 0, 5, 10, 15, 0, 5, 25, 5, 20, 35, 15)","c(0, 5, 5, 25, 10, 15, 30, 25, 10, 15, 10, 15, 10, 10, 5, 5, 20, 3, 20)","c(60, 45, 5, 0, 10, 10, 25, 0, 10, 0, 15, 30, 10, 5, 5, 5, 5, 15, 15)","c(15, 15, 5, 35, 10, 20, 15, 15, 30, 30, 20, 5, 10, 0, 5, 0, 10, 10, 5)"
21,23,Child,12,5,Female,"c(10, 0, 7, 19, 1, 10, 0, 5, 8, 5, 8, 3, 7, 19, 5, 20, 0, 0, 0)","c(10, 25, 0, 25, 16, 5, 12, 35, 10, 5, 5, 25, 0, 20, 0, 25, 3, 10, 7)","c(10, 15, 5, 5, 5, 20, 7, 5, 0, 15, 0, 5, 13, 20, 10, 10, 12, 4, 8)","c(10, 30, 5, 0, 5, 25, 9, 25, 10, 5, 20, 35, 3, 35, 0, 25, 20, 9, 21)","c(10, 0, 15, 1, 20, 0, 20, 40, 2, 15, 0, 0, 20, 3, 5, 12, 20, 25, 25)"
22,24,Child,10,4,Male,"c(0, 5, 10, 0, 5, 5, 0, 0, 0, 0, 5, 0, 5, 5, 5, 0, 5, 5, 5)","c(5, 10, 0, 10, 10, 5, 10, 0, 0, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5)","c(5, 5, 5, 5, 5, 0, 5, 5, 0, 0, 10, 0, 5, 5, 10, 5, 10, 0, 5)","c(5, 5, 5, 0, 10, 0, 15, 10, 5, 0, 15, 15, 0, 15, 5, 15, 20, 5, 0)","c(5, 0, 15, 15, 5, 5, 15, 10, 5, 10, 0, 0, 20, 10, 0, 5, 0, 10, 15)"
23,25,Child,11,5,Female,"c(8, 2, 1, 7, 2, 8, 9, 2, 2, 7, 2, 2, 0, 7, 9, 3, 7, 1, 4)","c(1, 2, 7, 3, 3, 11, 8, 6, 8, 2, 3, 0, 1, 8, 18, 10, 1, 1, 1)","c(14, 14, 3, 2, 16, 13, 3, 2, 3, 7, 12, 5, 6, 1, 2, 3, 0, 8, 4)","c(2, 1, 7, 12, 26, 3, 6, 11, 4, 3, 8, 4, 9, 2, 20, 0, 2, 4, 17)","c(3, 15, 12, 14, 21, 13, 7, 10, 17, 10, 8, 8, 3, 10, 7, 18, 12, 23, 5)"
24,26,Child,12,6,Male,"c(5, 4, 0, 0, 5, 5, 10, 10, 8, 0, 5, 5, 0, 0, 1, 5, 2, 15, 4)","c(5, 0, 9, 9, 4, 5, 5, 0, 0, 0, 10, 10, 0, 5, 15, 5, 4, 0, 0)","c(0, 10, 2, 5, 5, 0, 0, 5, 5, 0, 0, 0, 3, 4, 1, 0, 0, 5, 0)","c(4, 5, 0, 15, 0, 5, 20, 5, 5, 2, 0, 0, 5, 10, 10, 5, 5, 0, 10)","c(5, 6, 0, 5, 5, 10, 0, 5, 5, 5, 10, 15, 15, 10, 10, 10, 15, 0, 2)"
25,27,Child,10,4,Female,"c(0, 6, 0, 0, 5, 5, 5, 2, 4, 8, 12, 14, 10, 5, 0, 1, 0, 2, 19)","c(5, 14, 8, 10, 12, 11, 14, 2, 14, 5, 3, 3, 5, 2, 7, 12, 13, 5, 10)","c(15, 13, 17, 0, 0, 1, 2, 0, 10, 5, 2, 13, 9, 12, 8, 10, 1, 0, 0)","c(13, 3, 6, 0, 7, 5, 2, 6, 7, 7, 6, 11, 2, 8, 9, 17, 10, 5, 45)","c(13, 14, 10, 7, 7, 2, 28, 8, 2, 30, 5, 10, 7, 10, 5, 5, 9, 6, 8)"
26,28,Child,11,5,Female,"c(0, 5, 5, 5, 0, 0, 5, 5, 5, 5, 5, 10, 5, 5, 0, 0, 0, 0, 10)","c(10, 10, 10, 10, 20, 10, 5, 5, 5, 5, 0, 0, 5, 10, 10, 3, 15, 0, 10)","c(10, 0, 5, 5, 5, 5, 0, 5, 5, 5, 5, 10, 5, 10, 15, 5, 0, 10, 5)","c(5, 20, 45, 30, 5, 25, 25, 0, 40, 5, 0, 40, 15, 35, 20, 35, 10, 15, 5)","c(5, 5, 10, 0, 10, 5, 0, 10, 10, 0, 20, 25, 0, 0, 0, 5, 20, 5, 25)"
27,29,Child,11,5,Female,"c(0, 0, 0, 5, 15, 5, 3, 2, 5, 5, 5, 5, 5, 0, 0, 5, 0, 0, 5)","c(10, 0, 5, 8, 5, 5, 15, 25, 20, 10, 2, 2, 20, 5, 10, 0, 15, 15, 10)","c(0, 15, 0, 10, 5, 60, 0, 10, 15, 15, 0, 7, 10, 3, 10, 15, 5, 5, 5)","c(10, 20, 0, 0, 10, 0, 5, 5, 0, 15, 2, 15, 5, 7, 0, 0, 5, 5, 25)","c(5, 5, 0, 10, 0, 0, 2, 5, 5, 5, 15, 5, 15, 5, 20, 11, 0, 0, 10)"
28,30,Child,12,6,Male,"c(5, 0, 0, 0, 5, 0, 5, 0, 5, 10, 0, 5, 5, 5, 0, 5, 0, 10, 0)","c(20, 0, 10, 0, 10, 5, 30, 10, 5, 10, 5, 10, 25, 5, 10, 5, 20, 0, 10)","c(5, 5, 5, 0, 10, 15, 0, 0, 0, 15, 5, 0, 5, 20, 15, 0, 5, 10, 10)","c(35, 15, 30, 20, 15, 0, 0, 10, 0, 10, 10, 15, 25, 0, 15, 10, 0, 0, 5)","c(15, 20, 0, 5, 5, 20, 25, 15, 10, 10, 10, 4, 10, 15, 5, 15, 5, 15, 5)"
29,31,Child,9,3,Female,"c(5, 5, 5, 20, 0, 0, 5, 5, 0, 0, 0, 5, 30, 3, 0, 10, 0, 15, 15)","c(10, 0, 0, 10, 4, 10, 6, 11, 15, 0, 5, 10, 5, 0, 20, 0, 20, 4, 0)","c(0, 0, 5, 10, 5, 5, 10, 10, 20, 0, 0, 5, 0, 5, 20, 5, 9, 5, 10)","c(20, 5, 25, 5, 15, 20, 15, 10, 27, 30, 0, 40, 5, 0, 10, 5, 10, 5, 13)","c(5, 30, 15, 20, 26, 5, 40, 0, 10, 0, 5, 5, 10, 10, 13, 5, 6, 20, 15)"
30,32,Child,9,3,Male,"c(0, 0, 5, 5, 5, 0, 10, 15, 0, 0, 5, 5, 5, 0, 10, 10, 15, 10, 5)","c(15, 20, 10, 10, 5, 5, 5, 0, 5, 1, 15, 15, 5, 20, 5, 5, 5, 4, 5)","c(20, 0, 25, 5, 15, 40, 35, 40, 3, 5, 5, 9, 2, 5, 13, 17, 5, 2, 42)","c(15, 15, 5, 5, 15, 20, 35, 30, 0, 10, 9, 5, 10, 5, 5, 25, 3, 13, 3)","c(15, 10, 23, 20, 10, 5, 5, 0, 5, 5, 15, 0, 5, 10, 10, 20, 35, 1, 4)"
31,33,Child,10,4,Female,"c(5, 0, 10, 5, 10, 10, 0, 10, 5, 0, 10, 0, 5, 0, 5, 5, 5, 5, 5)","c(15, 15, 15, 20, 15, 5, 15, 4, 5, 10, 10, 20, 15, 5, 30, 10, 10, 10, 10)","c(5, 0, 0, 10, 10, 4, 10, 5, 20, 10, 0, 15, 5, 15, 10, 5, 5, 5, 5)","c(5, 35, 5, 5, 5, 5, 10, 20, 5, 5, 40, 2, 20, 10, 10, 10, 5, 5, 0)","c(5, 15, 10, 5, 42, 15, 0, 15, 10, 5, 10, 0, 5, 5, 0, 0, 5, 10, 0)"
32,34,Child,9,3,Male,"c(5, 10, 0, 5, 0, 5, 10, 5, 5, 5, 0, 10, 4, 5, 0, 0, 10, 10, 5)","c(0, 10, 0, 15, 5, 0, 10, 5, 5, 15, 20, 15, 10, 5, 5, 5, 20, 5, 0)","c(10, 5, 0, 10, 5, 0, 10, 5, 15, 15, 10, 5, 0, 5, 10, 5, 5, 15, 0)","c(15, 5, 0, 5, 0, 5, 0, 35, 10, 5, 0, 0, 5, 15, 0, 0, 5, 20, 0)","c(10, 20, 15, 15, 0, 5, 10, 5, 5, 5, 20, 5, 5, 5, 0, 20, 10, 15, 10)"
33,36,Child,9,3,Male,"c(5, 5, 0, 10, 10, 5, 0, 1, 5, 10, 10, 18, 10, 5, 5, 5, 5, 10, 5)","c(10, 15, 10, 15, 25, 10, 5, 10, 0, 15, 5, 5, 5, 0, 15, 20, 0, 5, 5)","c(0, 5, 5, 5, 5, 10, 15, 20, 5, 0, 10, 5, 16, 0, 10, 8, 10, 0, 5)","c(5, 0, 35, 20, 5, 10, 15, 15, 15, 0, 45, 5, 5, 10, 5, 10, 0, 31, 5)","c(10, 15, 10, 10, 15, 15, 10, 0, 10, 10, 5, 10, 10, 10, 20, 5, 30, 15, 5)"
